nan;nan;nan;nan;nan;nan;nan;TVR;Quantity
nan;nan;nan;nan;nan;nan;nan;all 18+;all 18+
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;10:50:00 - 10:50:59;25.01.2020;0,0247;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;11:12:00 - 11:12:59;25.01.2020;0,0854;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;11:31:00 - 11:31:59;25.01.2020;0,0616;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;11:50:00 - 11:50:59;25.01.2020;0,1291;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;12:11:00 - 12:11:59;25.01.2020;0,1241;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;12:33:00 - 12:33:59;25.01.2020;0,1399;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;12:48:00 - 12:48:59;25.01.2020;0,1728;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;13:06:00 - 13:06:59;25.01.2020;0,1170;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;13:26:00 - 13:26:59;25.01.2020;0,0808;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;13:46:00 - 13:46:59;25.01.2020;0,0702;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;14:07:00 - 14:07:59;25.01.2020;0,0471;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;14:21:00 - 14:21:59;25.01.2020;0,0528;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;14:38:00 - 14:38:59;25.01.2020;0,0502;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;14:49:00 - 14:49:59;25.01.2020;0,0523;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;15:09:00 - 15:09:59;25.01.2020;0,0765;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;15:20:00 - 15:20:59;25.01.2020;0,0879;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;15:40:00 - 15:40:59;25.01.2020;0,1010;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;15:54:00 - 15:54:59;25.01.2020;0,1004;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;16:06:00 - 16:06:59;25.01.2020;0,1146;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;16:23:00 - 16:23:59;25.01.2020;0,1468;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;16:38:00 - 16:38:59;25.01.2020;0,1346;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;16:48:00 - 16:48:59;25.01.2020;0,1541;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;17:07:00 - 17:07:59;25.01.2020;0,2289;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;17:18:00 - 17:18:59;25.01.2020;0,2001;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;17:38:00 - 17:38:59;25.01.2020;0,2420;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;17:48:00 - 17:48:59;25.01.2020;0,2615;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;18:06:00 - 18:06:59;25.01.2020;0,2939;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;18:19:00 - 18:19:59;25.01.2020;0,2601;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;18:38:00 - 18:38:59;25.01.2020;0,2893;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;18:51:00 - 18:51:59;25.01.2020;0,2821;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;19:39:00 - 19:39:59;25.01.2020;0,2205;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;19:52:00 - 19:52:59;25.01.2020;0,2006;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;20:10:00 - 20:10:59;25.01.2020;0,1678;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;20:21:00 - 20:21:59;25.01.2020;0,1982;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;20:38:00 - 20:38:59;25.01.2020;0,2099;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;20:50:00 - 20:50:59;25.01.2020;0,2325;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;21:08:00 - 21:08:59;25.01.2020;0,2129;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;21:23:00 - 21:23:59;25.01.2020;0,1498;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;21:41:00 - 21:41:59;25.01.2020;0,2675;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;21:52:00 - 21:52:59;25.01.2020;0,2044;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;22:09:00 - 22:09:59;25.01.2020;0,1542;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;22:29:00 - 22:29:59;25.01.2020;0,0929;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;22:47:00 - 22:47:59;25.01.2020;0,1206;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;23:10:00 - 23:10:59;25.01.2020;0,0958;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;23:29:00 - 23:29:59;25.01.2020;0,0938;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;23:48:00 - 23:48:59;25.01.2020;0,0499;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;24:09:00 - 24:09:59;25.01.2020;0,0835;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;24:26:00 - 24:26:59;25.01.2020;0,0686;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;24:46:00 - 24:46:59;25.01.2020;0,0481;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;25:09:00 - 25:09:59;25.01.2020;0,0181;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;25:22:00 - 25:22:59;25.01.2020;0,0107;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;25:41:00 - 25:41:59;25.01.2020;0,0179;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;25:53:00 - 25:53:59;25.01.2020;0,0143;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;07:09:00 - 07:09:59;25.01.2020;0,0085;1
